Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary,name
2018,TOR,Sebastian,Giovinco,F,7115556,5600000,Sebastian Giovinco
2018,TOR,Michael,Bradley,M,6500000,6000000,Michael Bradley
2018,LAFC,Carlos,Vela,F,6292500,4500000,Carlos Vela
2018,CHI,Bastian,Schweinsteiger,M,6100000,6100000,Bastian Schweinsteiger
2018,LA,Giovani,dos Santos,F,6000000,4250000,Giovani dos Santos
2018,NYCFC,David,Villa,F,5610000,5610000,David Villa
2018,TOR,Jozy,Altidore,F,5000000,5000000,Jozy Altidore
2018,MTL,Ignacio,Piatti,M,4713333,500000,Ignacio Piatti
2018,COL,Tim,Howard,GK,2475000,2000000,Tim Howard
2018,POR,Diego,Valeri,M,2380000,2320000,Diego Valeri
2018,SEA,Nicolas,Lodeiro,M,2302500,1800000,Nicolas Lodeiro
2018,ATL,Miguel,Almiron,M,2297000,1912500,Miguel Almiron
2018,MLS,Yura,Movsisyan,F,2073750,1850000,Yura Movsisyan
2018,NYCFC,Maxi,Moralez,M,2000000,2000000,Maxi Moralez
2018,LA,Jonathan,dos Santos,M,2000000,2000000,Jonathan dos Santos
2018,POR,Fanendo,Adi,F,1933333,1275000,Fanendo Adi
2018,CHI,Nemanja,Nikolic,F,1906333,1700000,Nemanja Nikolic
2018,LA,Romain,Alessandrini,M,1869996,1539996,Romain Alessandrini
2018,PHI,Borek,Dockal,M,1714286,1714286,Borek Dockal
2018,COL,Shkelzen,Gashi,F,1668750,1575000,Shkelzen Gashi
2018,MNUFC,Darwin,Quintero,F,1650000,1650000,Darwin Quintero
2018,KC,Felipe,Gutierrez,M,1650000,1600000,Felipe Gutierrez
2018,SEA,Clint,Dempsey,F,1650000,1100000,Clint Dempsey
2018,NYRB,Bradley,Wright-Phillips,F,1635000,1500000,Bradley Wright-Phillips
2018,TOR,Victor,Vazquez,M,1500000,1365000,Victor Vazquez
2018,LA,Zlatan,Ibrahimovic,F,1500000,1500000,Zlatan Ibrahimovic
2018,SJ,"Valeri ""Vako""",Qazaishvili,M,1454042,1325004,"Valeri ""Vako"" Qazaishvili"
2018,ATL,Ezequiel,Barco,M,1425000,1425000,Ezequiel Barco
2018,ATL,Josef,Martinez,F,1387318,1270008,Josef Martinez
2018,ORL,Dom,Dwyer,F,1383333,1200000,Dom Dwyer
2018,POR,Sebastian,Blanco,M,1375008,1300008,Sebastian Blanco
2018,TOR,Ager,Aketxe Barrutia,M,1295000,1190000,Ager Aketxe Barrutia
2018,CHI,Aleksandar,Katai,M,1276333,1140000,Aleksandar Katai
2018,PHI,Alejandro,Bedoya,M,1266250,1200000,Alejandro Bedoya
2018,PHI,David,Accam,F-M,1250000,1250000,David Accam
2018,RSL,Alfredo,Ortuno,F,1162500,990000,Alfredo Ortuno
2018,SEA,Osvaldo,Alonso,M,1141667,1100000,Osvaldo Alonso
2018,ORL,Sacha,Kljestan,M,1100000,1025000,Sacha Kljestan
2018,CLB,Federico,Higuain,M,1100000,1100000,Federico Higuain
2018,SEA,Victor,Rodriguez,M,1087500,1000000,Victor Rodriguez
2018,LAFC,Diego,Rossi,F,1052000,1000000,Diego Rossi
2018,POR,Lucas,Melano,F,1050000,830000,Lucas Melano
2018,RSL,Damir,Kreilach,M,1013333,900000,Damir Kreilach
2018,NE,Krisztian,Nemeth,F,1007667,900000,Krisztian Nemeth
2018,DC,Zoltan,Stieber,M,1000000,1000000,Zoltan Stieber
2018,LA,Jorgen,Skjelvik,D,1000000,900000,Jorgen Skjelvik
2018,VAN,Kei,Kamara,F,1000000,1000000,Kei Kamara
2018,NYRB,Marc,Rzatkowski,M,976167,885000,Marc Rzatkowski
2018,DAL,Mauro,Diaz,M,949890,853000,Mauro Diaz
2018,LAFC,Adama,Diomande,F,935000,850000,Adama Diomande
2018,LA,Ola,Kamara,F,925000,825000,Ola Kamara
2018,NE,Claude,Dielna,D,909861,780000,Claude Dielna
2018,RSL,Albert,Rusnak,M,907821,850008,Albert Rusnak
2018,COL,Yannick,Boli,F,907500,775000,Yannick Boli
2018,KC,Roger,Espinoza,M,900000,900000,Roger Espinoza
2018,CLB,Jonathan,Mensah,D,868996,774996,Jonathan Mensah
2018,ORL,Lamine,Sane,D,855000,807500,Lamine Sane
2018,COL,Stefan,Aigner,M,845885,800000,Stefan Aigner
2018,TOR,Gregory,Van Der Wiel,D,835000,800000,Gregory Van Der Wiel
2018,DAL,Roland,Lamah,M,818500,675000,Roland Lamah
2018,NYCFC,Jo Inge,Berget,F,816667,600000,Jo Inge Berget
2018,MTL,Alejandro,Silva,M,800040,800040,Alejandro Silva
2018,SJ,Chris,Wondolowski,F,800000,800000,Chris Wondolowski
2018,DAL,Reto,Ziegler,D,800000,750000,Reto Ziegler
2018,MTL,Saphir,Taider,M,800000,800000,Saphir Taider
2018,CLB,Pedro,Santos,M,794600,747600,Pedro Santos
2018,POR,Larrys,Mabiala,D,793333,750000,Larrys Mabiala
2018,KC,Matt,Besler,D,783250,750000,Matt Besler
2018,KC,Graham,Zusi,D,782102,750000,Graham Zusi
2018,DAL,Maximiliano,Urruti,F,781000,700000,Maximiliano Urruti
2018,NYCFC,Jesus,Medina,M,770833,650000,Jesus Medina
2018,ATL,Hector,Villalba,F,770750,663000,Hector Villalba
2018,VAN,Brek,Shea,D-M,745000,700000,Brek Shea
2018,DAL,Carlos,Gruezo,M,730750,595000,Carlos Gruezo
2018,LA,Ashley,Cole,D,722500,450000,Ashley Cole
2018,MTL,Matteo,Mancosu,F,719542,700000,Matteo Mancosu
2018,CHI,Dax,McCarty,M,712500,700000,Dax McCarty
2018,RSL,Marcelo,Silva,D,711875,675000,Marcelo Silva
2018,MTL,Rod,Fanni,D,710000,690000,Rod Fanni
2018,NYRB,Alejandro 'Kaku',Romero,M,709091,709091,Alejandro 'Kaku' Romero
2018,VAN,Aly,Ghazal,M,700567,575000,Aly Ghazal
2018,ATL,Brad,Guzan,GK,700008,640008,Brad Guzan
2018,KC,Johnny,Russell,M,700000,700000,Johnny Russell
2018,POR,Liam,Ridgewell,D,700000,700000,Liam Ridgewell
2018,MTL,Rudy,Camacho,D,699153,650000,Rudy Camacho
2018,ATL,Leandro,Pirez,D,685004,650004,Leandro Pirez
2018,RSL,Joao,Plata,F,683333,525000,Joao Plata
2018,COL,Joe,Mason,F,682500,650000,Joe Mason
2018,KC,Yohan,Croizet,M,680004,650004,Yohan Croizet
2018,NYRB,Daniel,Royer,M,668750,600000,Daniel Royer
2018,LAFC,Laurent,Ciman,D,661667,630000,Laurent Ciman
2018,DC,Luciano,Acosta,F-M,652000,550000,Luciano Acosta
2018,HOU,Alberth,Elis,F,650340,650340,Alberth Elis
2018,SEA,Roman,Torres,D,645000,575000,Roman Torres
2018,MNUFC,Christian,Ramirez,F,641250,575000,Christian Ramirez
2018,COL,Tommy,Smith,D,640000,600000,Tommy Smith
2018,DC,Paul,Arriola,M,639000,625000,Paul Arriola
2018,ORL,Jonathan,Spector,D,636942,575004,Jonathan Spector
2018,SEA,Kim,Kee-Hee,D,632004,500004,Kim Kee-Hee
2018,CLB,Gyasi,Zardes,F,630000,630000,Gyasi Zardes
2018,LAFC,Benny,Feilhaber,M,625000,625000,Benny Feilhaber
2018,PHI,Jay,Simpson,F,623341,580008,Jay Simpson
2018,ATL,Darlington,Nagbe,F-M,620000,605000,Darlington Nagbe
2018,LA,Michael,Ciani,D,620000,600000,Michael Ciani
2018,VAN,Efrain,Juarez,D-M,619833,525000,Efrain Juarez
2018,POR,Samuel,Armenteros,F,608333,600000,Samuel Armenteros
2018,VAN,Kendall,Waston,D,604167,575000,Kendall Waston
2018,NE,Juan,Agudelo,F,602500,575000,Juan Agudelo
