PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
Tom Brady,QB,NE,33,18000000,0.17,16500000,0.2,-,-,20320000,-,2010
DeAngelo Hall,CB,WAS,26,9166667,0.06,18500000,0.14,-,-,19700000,-,2010
Peyton Manning,QB,IND,34,14171429,0.12,15800000,0.16,-,-,19266666,-,2010
Champ Bailey,CB,DEN,32,9000000,0.08,16500000,0.19,-,-,18895000,-,2010
Donovan McNabb,QB,WAS,33,14850000,0.1,18575000,0.14,-,-,18575000,-,2010
Miles Austin,WR,DAL,26,7728571,0.06,17078000,0.16,-,-,17078000,-,2010
Brett Favre,QB,MIN,40,16000000,0.11,16000000,0.21,-,-,16000000,-,2010
Jason Peters,LT,PHI,28,12862500,0.11,14250000,0.18,-,-,15282000,-,2010
Gerald McCoy,DT,TB,22,11000000,0.15,18087500,0.24,-,-,15087500,-,2010
Julius Peppers,DE,CHI,30,14000000,0.13,20200000,0.23,-,-,14783333,-,2010
Corey Webster,CB,NYG,28,7250000,0.05,12250000,0.11,-,-,13845000,-,2010
Dwight Freeney,OLB,IND,30,12000000,0.11,8825000,0.09,-,-,13825000,-,2010
Kelvin Hayden,CB,IND,27,8600000,0.08,11100000,0.12,-,-,13800000,-,2010
Matthew Stafford,QB,DET,22,12000000,0.09,26900000,0.28,-,-,12980000,-,2010
Richard Seymour,DT,OAK,30,12975000,0.1,12975000,0.13,-,-,12975000,-,2010
Jared Allen,DE,MIN,28,12210012,0.09,10380000,0.14,-,-,12963344,-,2010
Tony Romo,QB,DAL,30,11250000,0.09,8500000,0.08,-,-,12462499,-,2010
Drew Brees,QB,NO,31,10000000,0.08,6689000,0.07,-,-,12349400,-,2010
Carson Palmer,QB,CIN,30,11950000,0.12,10500000,0.14,-,-,12300000,-,2010
Matt Ryan,QB,ATL,25,11250000,0.09,10250000,0.11,-,-,12250000,-,2010
Matt Cassel,QB,KC,28,10500000,0.11,12000000,0.14,-,-,12200000,-,2010
Eli Manning,QB,NYG,29,16250000,0.12,32500000,0.3,-,-,12100000,-,2010
Mario Williams,DE,HOU,25,9000000,0.08,9600000,0.1,-,-,12000000,-,2010
Reggie Bush,RB,NO,25,9181250,0.07,8490000,0.08,-,-,11990000,-,2010
DeMarcus Ware,OLB,DAL,28,11142857,0.09,7800000,0.07,-,-,11800000,-,2010
Philip Rivers,QB,SD,28,15300000,0.13,12600000,0.15,-,-,11710000,-,2010
